node-env,0,24741,14,549930517
ubuntu-upstart,80,631609,12,253283015
iojs,122,4889685,7,648592935
ruby-env,0,277,15,593158104
perl,187,9730298,8,878333405
buildpack-deps,331,4476993,6,828846142
rapidoid,3,326236,9,230735837
golang,1543,61134201,9,733600356
ibmjava,35,537635,8,314015160
erlang,158,3635027,8,875278495
sonarqube,652,6463293,14,940965105
zookeeper,259,4550466,8,143678859
registry,1718,157009933,6,33277096
kong,126,9446773,4,312986464
znc,13,519417,10,320479627
swift,110,159234,8,1332728040
aerospike,86,1104341,9,200309043
python,2240,49009330,9,689987683
joomla,152,3815622,22,422842499
docker,587,41676711,6,99870131
centos,3762,94414838,2,196638432
haskell,215,621425,3,1046766279
websphere-liberty,162,1875546,17,453240499
hello-world,397,79475243,2,1840
eclipse-mosquitto,58,1491086,4,4377548
logstash,1030,78444625,17,742730477
gcc,230,2254852,10,1640540168
thrift,72,291527,3,143239536
kapacitor,55,1977859,9,244321820
irssi,87,923512,5,257328407
maven,492,14511966,13,750630043
mono,240,3794210,5,530618400
telegraf,106,13302860,8,206541167
php-env,0,147,16,244747237
jetty,209,4367856,16,550179881
dotnet-env,0,217,7,170124530
spiped,10,310690,7,127942616
fission-workflow-bundle,0,56,3,49288085
adminer,41,819055,15,58783408
hola-mundo,2,90249,2,1856
bonita,54,518228,14,435077701
bash,42,1436705,4,12226297
vault,200,15579553,6,80528598
kaazing-gateway,41,261619,12,560684011
backdrop,8,849847,18,429200839
composer,126,753481,15,133227157
mageia,17,269498,2,317613937
oraclelinux,388,3350319,2,228998262
rust,22,259517,7,1327080185
gradle,52,2211071,12,820861975
perl-env,0,450,10,263525725
fedora,590,15313440,2,231079876
storm,44,413538,8,215658806
workflow-env,0,142,3,49553680
nuxeo,27,689813,17,2182219386
ghost,656,17559715,11,621438106
fluentd,0,4438,5,335151361
plone,12,424335,8,620668835
neurodebian,40,1613175,6,125123661
fetcher,0,17256,3,9906578
eggdrop,10,344204,8,20747310
fission-ui,0,1522,6,187588511
percona,298,7781365,11,393612032
lightstreamer,17,283938,12,611536335
glassfish,99,633269,11,773291555
hipache,70,205039,11,371202208
influxdb,338,21987999,9,191549357
rethinkdb,431,8676863,6,182294020
cirros,41,616884,4,7735365
fission-bundle,0,66697,2,51036447
nats,133,12425326,3,6526751
nats-streaming,21,2417482,2,8650688
cassandra,664,15214572,12,385402153
mariadb,1600,52249333,12,396922640
rails,708,2648003,12,840234153
hylang,18,547303,11,696893126
mongo-express,192,1385872,10,245548246
sourcemage,6,127168,2,722544880
fsharp,25,240309,3,549894081
piwik,103,1730672,21,463524554
xwiki,34,857855,21,1302393918
clearlinux,17,89210,3,62480840
groovy,22,2252821,11,581670531
gazebo,31,508964,11,1414031761
mongo,3770,133780137,12,360945237
mysql,5164,160265115,11,408177423
redmine,479,5892596,15,594464621
ruby,1165,65252621,8,684103628
odoo,400,2085341,8,1149990939
geonetwork,10,252965,16,847380027
memcached,853,108021186,6,58612507
rakudo-star,22,398969,6,359469751
php,2816,50092959,8,371580926
drupal,422,8448602,18,454568681
redis,4386,429934204,7,106634695
python-env,1,2211,8,6485473
celery,195,931818,10,215773711
alpinecurl,0,2428,3,6944463
java,1530,35035183,9,643195347
haproxy,822,38379511,6,136291029
dotnet20-env,0,107,7,118936259
arangodb,102,2379533,8,271759433
debian,2313,48437419,2,100094077
rabbitmq,1592,45742741,12,124488663
busybox,1130,393348619,2,1129289
couchdb,163,4748830,8,225922262
pypy,114,3996978,8,735744584
binary-env,0,2830,5,5335266
haxe,5,653980,8,309354023
crux,18,184063,2,341729815
jenkins,3195,39008764,21,811817123
photon,41,187228,2,127521988
rocket.chat,248,3853780,10,554146544
r-base,188,664236,7,642583781
sentry,383,8360798,15,507221521
kibana,1019,29919447,10,384942288
ros,131,1320554,14,955364198
elasticsearch,2505,98379054,16,583683895
chronograf,44,1071995,7,102648694
go-env,1,586,12,187608780
ubuntu-debootstrap,31,6334952,2,87087291
crate,87,2886403,9,202422080
orientdb,70,1779391,6,151113316
julia,70,775336,4,370152333
elixir,201,3130149,9,887419213
couchbase,254,5053027,14,554980759
owncloud,797,9712144,21,596737886
go-builder,0,149,9,697417849
consul,537,89003891,6,51759168
amazonlinux,203,10893326,2,164835191
jruby,59,6502701,14,597165466
known,2,105055,17,544903162
openjdk,676,26399909,10,740023194
clojure,192,1362984,12,757275829
alpine,2718,518220021,2,3965917
swarm,766,52837052,4,15771951
tomee,42,2116902,12,582061938
postgres,4147,132908639,14,287189549
django,592,4527109,7,436117187
node,4668,117861127,9,671615268
nextcloud,215,5633302,23,637658187
traefik,243,25269445,3,45577230
flink,21,1165480,16,712441358
httpd,1306,305360047,8,177289536
php-zendserver,122,1116420,21,1009165668
opensuse,199,3071722,2,107911394
convertigo,3,121827,17,667543511
solr,451,5726687,15,717687404
ubuntu,6744,304136798,6,122028764
neo4j,398,7864277,8,174318785
tomcat,1549,30294323,14,560322698
hello-seattle,0,607913,2,1856
nginx,7154,877924653,4,108382218
fission-workflows-bundle,0,136,3,49553680
wordpress,1955,62763581,19,409265233
