ubuntu-upstart,80,638911,12,253283015
iojs,122,4932856,7,648592935
perl,188,10197714,8,879171683
buildpack-deps,332,4638391,6,829684441
rapidoid,3,332589,9,228234850
golang,1554,63312457,9,733291639
ibmjava,35,550316,8,314015160
erlang,159,3724960,8,876501027
sonarqube,659,6739733,14,938165864
zookeeper,261,4602770,8,143678859
registry,1733,161819914,6,33277098
kong,127,10096293,4,312986918
znc,14,535546,10,320479629
mediawiki,18,98838,20,686409304
swift,110,164517,8,1332732178
aerospike,86,1120216,9,200309259
python,2265,50216477,9,691204407
joomla,154,3886186,22,421982590
docker,593,42766439,6,99870133
centos,3789,96461261,2,196638432
haskell,215,630490,3,1046766312
websphere-liberty,164,1901791,17,453240499
hello-world,401,81732529,2,1840
eclipse-mosquitto,59,1583472,4,4377548
logstash,1036,78787202,17,739919032
gcc,232,2286917,10,1641379862
thrift,72,294982,3,143239536
kapacitor,55,2033563,9,244093642
irssi,87,936606,5,257338624
maven,494,15010066,13,747830802
mono,240,3837633,5,530618400
telegraf,106,13588339,8,206232618
jetty,210,4439583,16,547372117
spiped,11,317407,7,127943385
adminer,43,871571,15,58783403
hola-mundo,2,93555,2,1856
bonita,54,527090,14,435289242
bash,43,1491464,4,12226297
vault,202,15947924,6,80528598
kaazing-gateway,41,265325,12,557876247
backdrop,8,863873,18,428341050
composer,130,777109,15,133227152
mageia,17,272816,2,317613937
oraclelinux,389,3379552,2,228998262
rust,22,295625,7,1327918484
gradle,54,2330795,12,818062734
fedora,594,16185262,2,231079876
storm,47,419930,8,215658808
nuxeo,27,705026,17,2179426838
ghost,659,18847505,12,596400729
plone,12,431900,8,620664929
neurodebian,40,1651108,5,113052200
eggdrop,10,350808,8,20747310
percona,298,7913099,11,393612065
lightstreamer,17,287923,12,608728571
glassfish,99,635681,11,773291555
hipache,70,206174,11,371202208
influxdb,344,23265886,9,191242721
rethinkdb,431,8854293,6,182294053
cirros,41,622995,4,7735365
nats,134,13272193,3,6526751
nats-streaming,21,2570191,2,8650688
cassandra,669,15680003,12,385402273
mariadb,1607,54367765,12,397177365
rails,710,2658278,12,840234153
hylang,18,555296,11,698195240
mongo-express,194,1411214,10,245568466
sourcemage,6,128599,2,722544880
fsharp,25,246682,3,549894081
piwik,104,1856124,21,462664645
xwiki,34,884506,21,1303353287
groovy,22,2330309,11,578862767
gazebo,31,515499,11,1414036563
mongo,3787,138591065,12,360945237
mysql,5189,164537584,11,408177925
redmine,481,5969464,15,597133451
ruby,1173,67095350,8,686604806
odoo,402,2139038,9,1150573361
geonetwork,10,259189,16,847380027
memcached,861,114787956,6,58613088
rakudo-star,22,403515,6,359469812
php,2830,51725550,8,370700437
drupal,422,8626228,18,453780812
redis,4404,440448781,7,106634695
celery,195,939972,10,215773711
java,1538,35516095,9,643195347
haproxy,828,39111056,6,136291089
arangodb,102,2417964,8,271760065
debian,2320,49307447,2,100094077
rabbitmq,1600,47142757,12,124471647
busybox,1137,402124125,2,1129289
couchdb,164,4762540,8,225922208
pypy,115,4060528,8,736959565
haxe,5,686660,8,309041782
crux,18,185589,2,341729815
jenkins,3204,39487083,21,809017882
photon,41,189292,2,127521988
rocket.chat,249,3941799,10,554146544
r-base,190,671160,7,651401930
sentry,386,8663617,15,507331804
kibana,1025,30329714,10,384942519
ros,132,1366837,14,955385354
elasticsearch,2518,99491806,16,580872470
chronograf,45,1140225,7,102649003
ubuntu-debootstrap,32,6428717,2,87087291
crate,87,2915632,9,202422082
orientdb,69,1799884,6,151113318
julia,70,784970,4,373941660
elixir,203,3231268,9,888641769
couchbase,255,5252603,14,554874691
owncloud,801,10122791,21,596737798
consul,544,92385682,6,51759168
amazonlinux,207,11022693,2,164835191
jruby,59,6679809,14,594447755
known,2,107222,17,544020554
openjdk,677,27534229,10,737223953
clojure,192,1392497,12,754476588
alpine,2738,547482508,2,3965917
swarm,774,53268289,4,15771951
tomee,42,2169817,12,579254174
postgres,4175,137842507,14,286881750
django,596,4571024,7,436117187
node,4693,121178509,9,675571699
nextcloud,221,5982794,23,636798398
traefik,248,26479632,3,45589550
flink,22,1263324,16,709631743
httpd,1318,336583172,8,177289536
php-zendserver,123,1128362,21,1031599511
opensuse,201,3143632,2,107911394
convertigo,3,125622,17,664735747
solr,451,5933813,15,714877839
ubuntu,6773,308740515,6,122028764
neo4j,403,7979712,8,187656449
tomcat,1559,31201848,14,560322698
hello-seattle,0,611572,2,1856
nginx,7204,886981379,4,108382312
wordpress,1968,63995353,19,408405324
